,Word,Frequency,word_
0,connexion,7,connexion : nb_word= 7
1,internet,29,internet : nb_word= 29
3,orange,28,orange : nb_word= 28
4,mali,48,mali : nb_word= 48
5,gratuit,12,gratuit : nb_word= 12
8,vpn,10,vpn : nb_word= 10
10,comment,10,comment : nb_word= 10
14,configurer,5,configurer : nb_word= 5
15,mobile,19,mobile : nb_word= 19
19,offres,6,offres : nb_word= 6
22,configuration,7,configuration : nb_word= 7
34,free,5,free : nb_word= 5
45,le,5,le : nb_word= 5
59,your,7,your : nb_word= 7
60,freedom,6,freedom : nb_word= 6
123,forfait,6,forfait : nb_word= 6
211,fraud,8,fraud : nb_word= 8
